DAY,AMOUNT_ALUSD,PRICE_ALCX
2021-04-13T00:00:00Z,24453415.972832903,1815.684824970699
2021-04-12T00:00:00Z,24830662.373206362,1903.8604231883608
2021-04-11T00:00:00Z,33467335.208782587,1906.9606225521497
2021-04-10T00:00:00Z,28313913.324546132,1933.6582591039173
2021-04-09T00:00:00Z,19200239.30547399,1906.8908127354935
2021-04-08T00:00:00Z,42703371.97749337,1738.2870328236381
2021-04-07T00:00:00Z,198659578.40346357,1818.4377947312878
2021-04-06T00:00:00Z,64645649.14088077,1885.3893888127895
2021-04-05T00:00:00Z,1874221239.6479206,1816.3719502530803
2021-04-04T00:00:00Z,3381340989.122847,1810.9472892052113
2021-04-03T00:00:00Z,411499124.44536036,1876.5947648929
2021-04-02T00:00:00Z,256174312.24186948,1811.2538277969627
2021-04-01T00:00:00Z,162404651.8809762,1720.980724223151
2021-03-31T00:00:00Z,55992424.04449082,1616.400234062903
2021-03-30T00:00:00Z,20922276.29327086,1477.6439713757702
2021-03-29T00:00:00Z,158382239.49365637,1409.919431139463
2021-03-28T00:00:00Z,135223619.58494177,1436.0586197850034
2021-03-27T00:00:00Z,105504299.38998337,1422.9538302858205
2021-03-26T00:00:00Z,5978720.7525715,1364.5411590487881
2021-03-25T00:00:00Z,20844983.16820745,1309.5619284481972
2021-03-24T00:00:00Z,44327650.35771204,1478.474985335096
2021-03-23T00:00:00Z,87136272.51159719,1573.941684528691
2021-03-22T00:00:00Z,4926924.432762697,1686.8831316844469
2021-03-21T00:00:00Z,48272467.306438275,1969.5859605937837
2021-03-20T00:00:00Z,206346174.60668665,1970.5318688728194
2021-03-19T00:00:00Z,169730819.53866768,1809.0554603274381
2021-03-18T00:00:00Z,203420930.90640926,1840.2619090676956
2021-03-17T00:00:00Z,479140483.91515565,1825.2009306636453
2021-03-16T00:00:00Z,109030729.05162576,1615.4281306457785
2021-03-15T00:00:00Z,340890204.935416,1612.398318993591
2021-03-14T00:00:00Z,41601467.497194216,1560.4171946323324
2021-03-13T00:00:00Z,219105489.23276758,1161.6682463193863
2021-03-12T00:00:00Z,212320787.4624048,921.2161784284373
